Request_timestamp_start,Request_timestamp_end,Response_timestamp_start,Response_timestamp_end,Bytes_received,Request_Path,Host
1619950174.9193325,1619950174.92271,1619950174.975487,1619950175.01083,0,/chrome-variations/seed?osname=android&milestone=89&channel=stable,clientservices.googleapis.com
1619950175.6835115,1619950175.6929986,1619950175.7466536,1619950175.8555534,0,/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,accounts.google.com
1619950176.5692456,1619950176.6048148,1619950176.7076967,1619950176.7115295,2790,/wireless/mw5/r1/images/bookmark-icons/espn_icon-152x152.min.png,a.espncdn.com
1619950176.6215327,1619950176.72575,1619950176.768157,1619950176.7757206,506,/chrome/ntp/suggested_sites_IT_5.json,www.gstatic.com
1619950176.797228,1619950176.919696,1619950176.988016,1619950177.0308225,6787,/rsrc.php/v3/ya/r/O2aKM2iSbOw.png,static.xx.fbcdn.net
1619950176.860406,1619950176.9753375,1619950177.0256493,1619950177.042375,2734,/images/G/01/anywhere/a_smile_196x196._CB368246573_.png,images-na.ssl-images-amazon.com
1619950176.8715255,1619950176.978033,1619950177.0370357,1619950177.0864887,34719,/static/images/ico/favicon-192.png/b407fa101800.png,www.instagram.com
1619950176.9263263,1619950177.0421226,1619950177.130204,1619950177.143826,1313,/static/apple-touch/wikipedia.png,en.m.wikipedia.org
1619950176.9536142,1619950177.0805297,1619950177.1321409,1619950177.1508594,5992,/dh/ap/default/130909/y_200_a.png,s.yimg.com
1619950176.9689765,1619950177.0919785,1619950177.1428695,1619950177.1522572,6775,/pictures/aw/pics/mobile/images/apple-touch-icon.png,ir.ebaystatic.com
1619950176.9724247,1619950177.1323333,1619950177.1933172,1619950177.2911284,98079,/yts/mobile/img/apple-touch-icon-144x144-precomposed-vflopw1IA.png,m.youtube.com
1619950177.391634,1619950177.4725964,1619950177.5030575,1619950177.504976,0,/v=7.8.3-34.20171222.171019/apps/themes/default/favicon.ico,mail.libero.it
1619950177.4092927,1619950177.5159597,1619950177.592478,1619950177.5977252,23,/async/ddljson?async=ntp:1,www.google.com
1619950177.4364324,1619950177.5576696,1619950177.5946214,1619950177.6136467,2734,/images/G/29/anywhere/a_smile_196x196._CB368246716_.png,images-eu.ssl-images-amazon.com
1619950177.4287553,1619950177.545535,1619950177.603637,1619950177.6263053,1313,/static/apple-touch/wikipedia.png,it.m.wikipedia.org
1619950177.460973,1619950177.5640066,1619950177.6154287,1619950177.639039,7026,/images/layout/favicon/android-icon-192x192.png,www.3bmeteo.com
1619950177.4298735,1619950177.5472977,1619950177.600293,1619950177.6648602,33772,/img/icon-256.png,www.ilmeteo.it
1619950177.3817647,1619950177.495338,1619950177.7521951,1619950177.7843533,33772,/httpservice/retry/TrellisClankService/FeedQuery?reqpld=CAHCPlEKNwgBEgwIBhAAIAEoATAEOBcYAyIPCFkQABilIiBpKAEwBDgXKgVlbi1HQjILDQAAQEAQuAgY8A0SAggBIAEgEyAFIAkgCiARIBQgGyAcICs%3D&fmt=bin&hl=en-GB&key=AIzaSyBOti4mM-6x9WDnZIjIeyEU21OpBXqWBgw,www.google.com
1619950177.7694783,1619950177.7728124,1619950177.81382,1619950177.8193116,3709,/appsuite/,mail1.libero.it
1619950178.127671,1619950178.136957,1619950178.3100424,1619950178.320453,72,/v1:GeneratePageBundle?key=AIzaSyBOti4mM-6x9WDnZIjIeyEU21OpBXqWBgw,offlinepages-pa.googleapis.com
1619950181.5269332,1619950181.5299833,1619950181.533941,1619950181.5378108,111182,/lacunaWebPages/stackexchange.com/stackexchange.com/0/,192.168.1.57
1619950181.9559174,1619950181.9610302,1619950181.964934,1619950181.9870462,5192,/node_modules/perfume.js/dist/perfume.umd.min.js,192.168.1.57
1619950181.9857094,1619950181.9982612,1619950182.0049813,1619950182.0113769,1581,/lacunaWebPages/stackexchange.com/stackexchange.com/0/lacuna_cache/imported_vc3115.js,192.168.1.57
1619950182.0007358,1619950182.0266063,1619950182.0352118,1619950182.0398157,81,/lacunaWebPages/stackexchange.com/stackexchange.com/0/lacuna_cache/exported_svaa2z.js,192.168.1.57
1619950182.0103161,1619950182.0329604,1619950182.0406818,1619950182.0503824,15429,/lacunaWebPages/stackexchange.com/stackexchange.com/0/lacuna_cache/imported_sg12st.js,192.168.1.57
1619950182.156427,1619950182.2609243,1619950182.298659,1619950182.4229949,45536,/shared/chrome/chrome.css?v=f80392c05d6d,cdn.sstatic.net
1619950182.1582808,1619950182.2642567,1619950182.3237972,1619950182.4283016,11366,/stackexchange/all.css?v=4fd32c4cc97b,cdn.sstatic.net
1619950182.606264,1619950182.6134112,1619950182.619245,1619950182.6230102,602,/lacunaWebPages/stackexchange.com/stackexchange.com/0/lacuna_cache/exported_hmkhcf.js,192.168.1.57
1619950182.6615245,1619950182.6651738,1619950182.6695592,1619950182.6733,722,/lacunaWebPages/stackexchange.com/stackexchange.com/0/lacuna_cache/exported_2m77mw.js,192.168.1.57
1619950182.6874633,1619950182.7122092,1619950182.71646,1619950182.7241387,957,/lacunaWebPages/stackexchange.com/stackexchange.com/0/lacuna_cache/exported_j54mya.js,192.168.1.57
1619950182.6986754,1619950182.7064486,1619950182.7119772,1619950182.72596,358,/lacunaWebPages/stackexchange.com/stackexchange.com/0/lacuna_cache/exported_9t8y4l.js,192.168.1.57
1619950182.727127,1619950182.750156,1619950182.7531662,1619950182.7550564,0,/content/img/hero/close.png,192.168.1.57
1619950182.8075168,1619950182.811489,1619950182.8145232,1619950182.8177137,0,/content/img/hero/vote.png,192.168.1.57
1619950182.817884,1619950182.823452,1619950182.8283908,1619950182.8307903,0,/content/img/hero/bubble.png,192.168.1.57
