Request_timestamp_start,Request_timestamp_end,Response_timestamp_start,Response_timestamp_end,Bytes_received,Request_Path,Host
1619905459.5314927,1619905459.5353968,1619905459.5832796,1619905459.6397882,0,/chrome-variations/seed?osname=android&milestone=89&channel=stable,clientservices.googleapis.com
1619905460.601103,1619905460.6125858,1619905460.6956396,1619905460.7074099,0,/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,accounts.google.com
1619905461.2438188,1619905461.2545164,1619905461.3627613,1619905461.366625,2790,/wireless/mw5/r1/images/bookmark-icons/espn_icon-152x152.min.png,a.espncdn.com
1619905461.3055775,1619905461.409737,1619905461.4463575,1619905461.4518244,506,/chrome/ntp/suggested_sites_IT_5.json,www.gstatic.com
1619905461.5684028,1619905461.7384887,1619905461.7825012,1619905461.7892926,2734,/images/G/01/anywhere/a_smile_196x196._CB368246573_.png,images-na.ssl-images-amazon.com
1619905461.574962,1619905461.7396016,1619905461.785456,1619905461.7955341,6787,/rsrc.php/v3/ya/r/O2aKM2iSbOw.png,static.xx.fbcdn.net
1619905461.59071,1619905461.773925,1619905461.8342888,1619905461.867807,5992,/dh/ap/default/130909/y_200_a.png,s.yimg.com
1619905461.6404564,1619905461.780818,1619905461.8625953,1619905461.9028628,34719,/static/images/ico/favicon-192.png/b407fa101800.png,www.instagram.com
1619905461.6546514,1619905461.807275,1619905461.89611,1619905461.9145575,1313,/static/apple-touch/wikipedia.png,en.m.wikipedia.org
1619905461.7057755,1619905461.8121161,1619905461.8878992,1619905461.9171777,6775,/pictures/aw/pics/mobile/images/apple-touch-icon.png,ir.ebaystatic.com
1619905461.7941134,1619905461.9174194,1619905462.0046074,1619905462.0246558,23,/async/ddljson?async=ntp:1,www.google.com
1619905461.6372402,1619905461.7700331,1619905461.822382,1619905462.0668516,98079,/yts/mobile/img/apple-touch-icon-144x144-precomposed-vflopw1IA.png,m.youtube.com
